,passage,questions,answers
122,"Just-in-time (JIT) compilation, also known as dynamic translation, is a technique for improving the performance of interpreted programs or dynamically compiled languages. Instead of compiling a program directly into machine code that will run on the microprocessor, the compiler generates machine code ""on demand"" each time it is needed. 
"," Just-in-time compilation improves the performance of interpreted programs. 
", True
123,"Scotch whisky (Scottish Gaelic: uisge-beatha na h-Alba; Scots: weeze or whusky) is malt whisky or grain whisky made in Scotland. Scotch whisky must be made in a manner specified by law. All Scotch whisky was originally made from malted barley.[1] Commercial distilleries began introducing whiskey distilled from wheat and rye in the late 18th century.[2]Scotch whiskies are divided into five distinct categories: single malt scotch, single grain scotch, blended malt scotch, blended grain scotch, and blends of both malt and grain whiskies
"," 
Is all Scottish Whiskey only composed of Malted Barley? 
", False
124,"The 1969 NFL Draft was held on January 28–29, 1969, at the Belmont Plaza Hotel in New York City. This draft is notable for having several future Hall of Famers drafted in it: O.J. Simpson (1st overall), Joe Namath (12th overall), and Len Dawson (5th round).
"," 
Was OJ Simpson drafted into the NFL? 
", True
125,"Fuel injection is the introduction of fuel in an internal combustion engine, most commonly automotive engines, by the means of an injector. All diesel engines use fuel injection by design. Petrol engines can use gasoline direct injection, where the petrol is directly delivered into the cylinder, or indirect injection where the gas mixture enters a port and mixes with air before entering cylinders. On petrol engines, carburetors have largely been supplanted by Fuel Injection since 1980
"," 
Is fuel injected only on Diesel Engines? 
", False
126,"Angus MacGyver is the main character in the 1985–1992 television series MacGyver. The character was created by Lee David Zlotoff and played by Richard Dean Anderson.

 Angus ""Mac"" Gyldenhorn Mackenzie MacGyver (/ˈmæk dʒɪvər/; Scottish Gaelic: Aonghas Mag Uidhir) works as a secret agent for a fictional United States government organization, known simply as DXS (later revealed to be Department of External Services). Educated as an engineer and chemist, he prefers non-violent solutions whenever possible and refuses to carry or use firearms. He relies on his wits rather than weapons, using common items like paper clips or duct tape instead of conventional resources like guns or explosives – hence his nickname ""MacGruber"", after another pop culture parody that also featured someone who used everyday objects to solve complex problems 
"," Is Angus macgyver's real name angus ?
", False
127,"The American robin (Turdus migratorius) is a songbird of the true thrush genus and Turdidae, the wider thrush family. It is named after European Robin because of its reddish-orange breast, though the two species are not closely related; they belong to different genera in subfamily Saxicolinae of Muscicapoidea. The American robin breeds throughout much North America south through Mexico and into Central America; it winters from southern Canada to northern South America including most Caribbean islands. 
"," Is the American robin found only in North America? 
", True
128,"New Zealand has a broad-based progressive tax system. The personal income tax rate is currently set at 33 percent for annual taxable income over NZ$70,000 – below this threshold, taxes are levied according to a graduated scale. Goods and services are subject to a 15 percent value-added tax (VAT), with some exemptions and discounts applying. 
"," Is the GST in New Zealand 10 percent? 
", False
129,"An invoice is a document that records the quantity and value of goods or services provided by a seller to a buyer. The main purpose of an invoice is to request payment from the buyer for the goods or services they have received. 
"," Is the main purpose of an invoice to track inventory? 
", False
130,"Operation Red Wings, informally referred to as the Battle of Abbas Ghar (often incorrectly called Operation Redwing or Operation Red Wing), was a combined / joint military operation during the War in Afghanistan conducted by U.S. special operations forces with the Afghan National Army against Taliban leaders on Sawtalo Sar mountain in Kunar Province, northeast of Asadabad, Afghanistan. On 28 June 2005, four U.S Navy SEALs were inserted by helicopter into an area east of Khyber Pass to observe and gather intelligence on a group of high-ranking Taliban leaders supposedly meeting there; however they were compromised almost immediately after beginning their mission when local herders stumbled across them while looking for lost goats and alerted nearby Taliban fighters
"," 
Was ""Operation Red Wings"" successful?
", No
131,"William, nicknamed Will by his father, Mulder, is a character in the American television series The X-Files. He is the son of FBI Special Agent Fox Mulder and Dana Scully. In the show's ninth season finale ""The Truth"", it is revealed that he was named after Scully's brother Samuel (whose nickname was also ""Sam""). William makes several appearances throughout the tenth season; however, actor Miles Robbins portrays him as an adult in flashbacks during the eleventh season episode ""My Struggle IV"".
"," Is William Mulder's biological son? 
", False
132,"Hydrogen chloride is a diatomic molecule with the chemical formula HCl and common name hydrochloric acid. It is usually found as an aqueous solution, which forms when hydrogen chloride gas dissolves in water. Hydrochloric acid was first discovered by alchemists working on distilling vinegar around 800 AD.[1] They called it spiritus salis or oil of vitriol at that time. 
"," Is hydrochloric acid dangerous? 
", True
133,"
NBA 2K18 is a basketball simulation video game developed by Visual Concepts and published by 2K Sports. It was released in September 2017 for Microsoft Windows, Nintendo Switch, PlayStation 4, PlayStation 3, Xbox One, and Xbox 360.

"," Is NBA 2k18 available on all current generation consoles? 
", True
134,"Lorazepam, sold under the brand name Ativan among others, is a benzodiazepine medication. It is used to treat anxiety disorders, trouble sleeping, active seizures including status epilepticus, alcohol withdrawal syndrome,[2] and chemotherapy-induced nausea and vomiting.[3] Lorazepam has powerful anxiolytic effects[4][5] and works rapidly compared to other benzodiazepines.[6][7]

"," Does lorazepam work quickly? 
", True
135,"The five boroughs of New York City, in the U.S. state of New York, are: The Bronx, Brooklyn, Manhattan, Queens and Staten Island.[1] They were consolidated into a single city in 1898.
The term Borough was adopted to describe a form of governmental administration for each county in England from the late 10th century onwards[2], until their formal incorporation as principal subdivisions of London by 1965 under the Greater London Council (with some minor boundary adjustments). 
"," Are there 5 or more boroughs in NYC? 
", False
136,"The Nintendo DS Lite is a dual-screen handheld game console developed and manufactured by Nintendo. It was released in 2006 as the successor to the Game Boy Advance SP. The consoles features two LCD screens, with the bottom one being a touchscreen, stylus, microphone, and support for wireless connectivity. 
"," Does the Nintendo DS Lite have a built-in camera? 
", False
137,"The bald-faced hornet (Dolichovespula maculata), also known as the white-tailed hornet, blackjacket, or bull wasp[2] is a species of yellow jacket native to North America. It gets its name from its predominantly black and white coloring. These Hornets build their nests in trees and shrubs, often protected by an outer layer of paper which gives them their characteristic ""football"" shape when viewed from below.[3][4]
"," 
Do bald-faced hornets live in North America? 
", True
138,"The Last Airbender is a 2010 American action-adventure fantasy film written, co-produced and directed by M. Night Shyamalan. It is based on the first season of the Nickelodeon animated series Avatar: The Last Airbender. The film stars Noah Ringer as Aang, withDev Patel as Prince Zuko, Nicola Peltz as Kataraand Jackson Rathboneas Sokka.<br>
 "," Is 'The last airbender' a live action movie? 
", True
139,"The Mist is an American science fiction-horror thriller television series created by Amanda Segel and executive produced by Steven Spielberg. The show premiered on June 22, 2017, on Spike. 
"," Is the mist a TV series? 
", True
140,"Fisherman's Wharf is a neighborhood and popular tourist attraction in San Francisco, California. It roughly encompasses the northern waterfront area of downtown San Francisco from Ghirardelli Square or Van Ness Avenue east to Pier 35 or Kearny Street. The F Market & Wharves line of the Muni Metro runs through Fisherman's Wharf.
"," 
Is Fisherman's wharf located in downtown san francisco?
", True
141,"Ed, Edd n Eddy is a Canadian-American animated television series created by Danny Antonucci for Cartoon Network, and the sixth of the network's Cartoon Cartoons. The series revolves around three preteen boys named Ed, Edd (called ""Double D"" to avoid confusion with his identical cousin), and Eddy—collectively known as ""the Eds""—who live in an urban area located outside fictitious Peach Creek Jr. High School. Under the unofficial leadership of self-proclaimed scheme artist and ideas manEddy, they frequently find themselves engaged in mischievous activities that result in getting them into various conflicts with their neighbors while also encountering other problems on their own adventures 
"," Is 'Ed' short for Edward? 
", False
142,"Hogle Zoo is located in Emigration Canyon of the Wasatch Range just east of Salt Lake City and was founded by John C. Hogle in 1931. The zoo has a number of exhibits, including an Asian Highlands exhibit with tigers, red pandas, and Komodo dragons; an Elephant Encounter exhibit; and a Rocky Shores exhibit featuring sea lions, harbor seals, penguins, otters and bald eagles.
"," Is Hogle Zoo located near Salt Lake City? 
", True
143,"Naval mines are sea-borne explosives placed in water to damage or destroy surface ships or submarines. Unlike depth charges, mines are deposited and left to wait until they are triggered by the approach of, or contact with, an enemy vessel. Naval mining emerged during World War I as one of the earliest effective means of countering a submarine threat and would be widely used in subsequent conflicts including World War II (particularly in the Pacific), Korea, Vietnam and Iraq Wars. 
"," Do naval mines float on water? 
", False
144,"Alex Vause is a character in the Netflix series Orange Is the New Black, played by Laura Prepon. Alex is an inmate at Litchfield Penitentiary and former drug runner with ties to international drug lord Kubra Balik.
"," 
Is Alex Vause a real person?
", False
145,"The basic rules of Magic: The Gathering are simple. Two or more players each take control of a “deck” of cards, which represent the various spells and creatures they can summon to do battle with their opponents. Players then alternate taking turns, during which they may play any number of those cards from their hand in an attempt to defeat the other player(s).
"," 
Do two or more players each take control of a “deck” of cards? 
", True
146,"
The 7th Central Pay Commission (CPC) was set up by the Government of India in September 2013. The commission submitted its report to the government on 19 November 2015, and it was implemented from 1 January 2016.

Defence personnel were not happy with the recommendations of Seventh CPC particularly with regard to pay parity between civilian employees and defence personnel which has been a longstanding demand of all three services.

"," Was the 7th Central Pay Commission implemented from 1 January 2016? 
", True
147,"Chewbacca, nicknamed ""Chewie"", is a fictional character in the Star Wars franchise. He is a Wookiee, a tall, hirsute biped and intelligent species from the planet Kashyyyk. Chewbacca serves as Han Solo's copilot and first mate aboard the Millennium Falcon during their smuggling operations; throughout his various adventures with them across multiple films he becomes close friends with both Solo and Princess Leia Organa.
"," Is Chewbacca human? 
", False
148,"The cell membrane (also known as the plasma membrane or cytoplasmic membrane) is a biological membrane that separates the interior of all cells from the outside environment. The cell membrane is selectively permeable to chemicals and controls what enters and exits the cell. It consists of a phospholipid bilayer with embedded proteins. 
"," Is the primary function of the cell wall to protect plant cells? 
", False
149,"The French First Republic (French: République française) was founded on 22 September 1792 during the French Revolution. The First Republic lasted until the declaration of the First Empire in 1804 under Napoleon, although already de facto dissolved at the Coup of 18 Brumaire in November 1799. It was officially renamed as simply ""France"" by a constitutional amendment approved by public referendum between 5 and 12 August 1958 which established its current form of government with a strong presidency and assembly dominated legislature known as semi-presidential system following Charles de Gaulle's veto over Parliamentarianism; since then France has had numerous presidents elected through presidential elections held every five years except for one exception where an early election occurred due to former president François Mitterrand dying mid term after being reelected only two months into his second term.[1][2] 

"," Is France currently governed by a parliamentary system? 
", False
150,"The Loyola Ramblers men's basketball team represents Loyola University Chicago in Chicago, Illinois. The Ramblers compete in the Missouri Valley Conference (MVC) and play their home games at Gentile Arena on the university's Lake Shore Campus. They currently are coached by Porter Moser. 
"," 
Are the Loyola Ramblers a Division I basketball team? 
", True
151,"The WWE Championship is a world heavyweight championship created and promoted by the American professional wrestling promotion WWE, currently defended on their Raw brand. It is one of WWE's original championships, dating back to 1963.
"," Is the WWE Championship exclusively for the Raw brand? 
", False
152,"A tie, also called a draw, is a result in which each contesting team or individual has scored the same number of points or goals. 
"," Is it possible for two teams to both have zero points? 
", False
153,"The ITV Hub (formerly ITV Player) is an online video on demand service accessible through the main ITV website itv.com. The hub replaced the former iTV Catchup/Player service and offers a selection of programming from across the network, as well as news bulletins and regional variations for some programmes
"," 
Is BBC iplayer available on the itv hub? 
", False
154,"
Everclear is a brand of grain alcohol with 95% ethanol content. It is produced by the American company Luxco. Everclear is also available in 75.5% and 50% alcohol concentrations under different brand names such as ""Electra"" in Europe, ""Crystal Clear"" or ""Triple XXX"" in Australia, and """"Red Arrow"""" vodka in Russia.[1][2]

"," Is everclear only sold in America? 
", False
155,"Dante's View is a viewpoint on the south rim of Death Valley. It is named for Italian writer Dante Alighieri, and it was featured in his Inferno. The view from the site includes much of Death Valley, including Furnace Creek, Zabriskie Point, and Badwater Basin. 
"," Is Dante's View located on the north or south rim of Death Valley? 
", South
156,"Wrecked is an American comedy television series that aired on TBS from June 14, 2016 to August 8, 2018. The series revolves around a group of survivors who are stranded on an uninhabited island after their plane crashes in the middle of the Pacific Ocean.
"," 
Is Wrecked a TV show? 
", True
157,"Heath Ledger received numerous awards and nominations for his work in film. He won the New York Film Critics Circle Award and the Independent Spirit Robert Altman Award for Best Ensemble Cast, both for Brokeback Mountain (2005). In addition, he was nominated three times at the Academy Awards, winning posthumously in 2009 for his portrayal of Joker in The Dark Knight (2008), becoming one of only eight actors to have won an Oscar posthumously.
"," 
Heath Ledger won an Oscar award while alive? 
", False
158,"Magnus Chase and the Gods of Asgard is a trilogy of fantasy novels written by American author Rick Riordan with Norse mythology elements, primarily featuring the god Thor. The series is set in Boston, Massachusetts during the present day. It follows Magnus Chase, a 16-year-old homeless boy who discovers he is an einherjar and must prevent Ragnarok alongside gods like Odin and Thor.
"," 
Does this book series follow Magnus Chase as he becomes a God?
", False
159,"Gollum is a fictional character from J. R. R. Tolkien's legendarium, who first appeared in the 1937 fantasy novel The Hobbit as ""a small slimy creature"" who lived on an island in the Great River near the Misty Mountains for 589 years before becoming possessed by Sauron and serving him during the War of Ring until his death at Mount Doom after betraying Sauron to regain possession of his precious ring that was taken from him by Bilbo Baggins sixty years earlier
"," Is Gollum good or evil? 
", Evil
160,"The Atlantic puffin (Fratercula arctica), also known as the common puffin, is a species of seabird in the auk family. It is the only member of its genus Fratercula and breeds across much of the North Atlantic Ocean. This brightly coloured bird has a black back and white underparts, with orange legs. Its most striking feature is its large parrot-like bill, which is bright yellow with a red base during breeding season
"," Is the Atlantic Puffin's bill always yellow? 
", False
161,"Call of Duty: Black Ops is a first-person shooter video game, developed by Treyarch and published by Activision. It was released worldwide on November 9, 2010 for Microsoft Windows, the PlayStation 3, Xbox 360,[2] and Wii,[3] with a separate version for Nintendo DS developed by n-Space.[4][5] Aspyr later released the game on OS X on September 27, 2012.[6][7]
"," 
Is Call of Duty: Black Ops available only on gaming consoles?
"," 
False"
162,"
The Chicago Black Renaissance was a period of time in the 1920s when African American artists and intellectuals flourished in the city of Chicago. The movement was led by figures such as Gwendolyn Brooks, Langston Hughes, and Richard Wright, who all helped to shape the artistic landscape of the city.

"," Was Richard Wright a part of the Chicago Black Renaissance? 
", True
163,"A convergent boundary is an area on Earth where two or more tectonic plates are moving toward one another and colliding. The collision of lithospheric plates produces high mountain ranges, such as the Himalayas, Alps, and Andes. Earthquakes often occur along convergent boundaries as a result of plate movement and resulting tension.'
"," 
Are earthquakes common at divergent boundaries?
", False
164,"Spider-Man is a fictional superhero created by writer-editor Stan Lee and writer-artist Steve Ditko. He first appeared in the anthology comic book Amazing Fantasy #15 (August 1962) in the Silver Age of Comic Books. He appears in American comic books published by Marvel Comics, as well as in a number of movies, television shows, and video game adaptations set in the Marvel Universe. In the stories, Spider-Man is the alias of Peter Parker, an orphan raised by his Aunt May and Uncle Ben after his parents Richard and Mary Parker died in an airplane crash when he was a child. When Spider-Man grows up he becomes one o
"," Is Spiderman's real name Peter Parker? 
", True
165,"Mixed twins are twins with different ethnicities. They can be either monozygotic (""identical"") or dizygotic (""fraternal""). Twins of mixed ethnicity are more common than ever before, due to increasing rates of interracial relationships and marriages.
"," 
Are mixed twins more common now than they used to be? 
", True
166,"The New Orleans Pelicans are an American professional basketball team based in New Orleans, Louisiana. The Pelicans compete in the National Basketball Association (NBA) as a member club of the league's Western Conference Southwest Division. The team plays their home games at the Smoothie King Center. 
"," Do the New Orleans Pelicans play in the NBA? 
", True
167,"Burgundy is a dark red or purple, or a wine with such a color. The colour Burgundy derives its name from the Burgundian Kingdom. When referring to the color, ""Burgundy"" is usually not capitalized in English. 
"," Does the color burgundy derive its name from France? 
", False
168,"The Atlantic Time Zone is a geographical region that keeps standard time—called Atlantic Standard Time (AST)—by subtracting four hours from Coordinated Universal Time (UTC), resulting in UTC−04:00. During part of the year, some portions of the zone observe daylight saving time by resetting clocks one hour forward to result in UTC−03:00. 
"," Does Canada use Daylight Saving Time? 
", True
169,"
 Seattle's Best Coffee is a coffee company and coffeehouse chain based inSeattle, Washington. It was founded in 1970 as Torrefazione Italia by JimTrebeck. In 2003, it was acquired by Starbucks.[1] As of 2018, there are over 50locations nationwide
"," Is Seattle's Best Coffee a subsidiary of Starbucks? 
", True
170,"A quark is a type of dairy product made by boiling milk and then adding rennet to curdle it. It is usually made from cow's milk, but can also be made from goat's or sheep's milk. Quark has a slightly sour taste and is often used in baking or as a topping for fruit pies.
"," 
Is quark always made from cow's milk? 
", False
171,"Australia has a visa policy which discourages all but the most affluent visitors from much of Asia and Africa. In contrast, citizens of Europe, North America and Oceania generally do not require visas for short-term visits to Australia. 
"," Do Australian citizens need a visa when travelling to Europe? 
", False
172,"The Mpemba effect is the observation that hot water can freeze faster than cold water. The effect has been known since ancient times, and was first mentioned by Aristotle in his book Meteorologica. It was named after Tanzanian student Erasto Mpemba, who discovered it while attending school in 1963. 
"," Is the Mpemba effect a real phenomenon?
", True
173,"An airline alliance is an aviation industry arrangement between two or more airlines agreeing to cooperate on a substantial level. Alliances may provide marketing branding to facilitate travelers making inter-airline codeshare connections within countries. 
"," Is American Airlines part of any airline alliances? 
", False
174,"The Mason–Dixon line, also called the Mason and Dixon boundary or simply the Mason and Dixon line, was surveyed between 1763 and 1767 by English astronomers Charles Masonand Jeremiah Dixon in the aftermath of a border dispute involving Maryland, Pennsylvania, and Delaware. It is still considered today to be an accurate demarcation of those states' borders. 
"," Is the Mason-Dixon Line still used as a state border?
", True
175,"
In computer science, NP is a complexity class used to describe certain types of computational problems. Problems that are members of the class can be solved by using polynomial time algorithms, but there is no known algorithm that solves all such problems in polynomial time for every input size. 
"," Is it possible to solve allNP-complete problems in polynomial time? 
", False
176,"Donald Driver (born February 2, 1975) is a former American football wide receiver. He played his entire career with the Green Bay Packers of the National Football League (NFL).Driver was drafted by the Packers in the seventh round of the 1999 NFL Draft after playing college football for Alcorn State University.
"," 
Was Donald driver born in 1975? 
", True
177,"The Kirby Company is a home cleaning systems manufacturer based in Cleveland, Ohio. It was founded in 1914 by James Harwood Kirby and is currently owned and operated by the Scott Fetzer Company, which is itself a subsidiary of Berkshire Hathaway. The company's flagship product is its line of vacuum cleaners; however, it also manufactures floor polishers, shampooers, air purifiers, and other homecare products. 
"," Is the Kirby Company still operating? 
", True
178,"The Statue of Zeus at Olympia was a giant seated figure, about 13 m (43 ft) tall,[1] made by the Greek sculptor Phidias around 435 BC at the sanctuary of Olympia, Greece. A sculpture of ivory plates and gold panels over a wooden framework, it represented the god Zeus sitting on an elaborate cedar wood throne ornamented with ebony, ivory, precious stones and lapis lazuli.[2]
"," 
Was the statue destroyed by earthquakes?
"," 
False"
179,"The Simpsons' twenty-ninth season began airing on Fox in the United States on October 1, 2017, and ended on May 20, 2018. 
"," Did the 29th season of The Simpsons start airing in 2016? 
", False
180,"Petroleum jelly, petrolatum, white petroleum or paraffinum liquidum is a semi-solid mixture of hydrocarbons (with carbon numbers mainly higher than 25), originally promoted as a topical medicinal ointment for its healing properties. It can be used to moisturize the skin, protect minor cuts and burns from becoming infected and keep lips moist. 
"," Is petroleum jelly good for your skin?
", True
181,"An icebreaker is a special-purpose ship or boat designed to move and navigate through icebergs, as opposed to open waters. Though the term usually refers to large ships, it may also refer to smaller vessels, such as tugboats. 
"," Is an icebreaker a type of boat? 
", True
182,"Tomb Raider, also known as Lara Croft: Tomb Raider between 2001 and 2007, is a media franchise that originated with an action-adventure video game series created by British gaming company Core Design. Formerly owned by Eidos Interactive, then by Square Enix after their acquisition of Eidos in 2009, the franchise focuses on a fictional British archaeologist Lara Croft who travels around the world searching for lost artefacts and infiltrating dangerous tombs and ruins. 
"," Is the protagonist male or female? 
", Female
183,"Salmon Fishing in the Yemen is a 2011 British romantic comedy-drama film directed by Lasse Hallström and starring Ewan McGregor, Emily Blunt, Kristin Scott Thomas and Amr Waked. The film was shot on location in London, Scotland, Morocco and Oman. It was nominated for an Academy Award for Best Original Screenplay.
"," 
Was the movie Salmon Fishing in the Yemen filmed entirely in Britain?
"," 
False"
184,"The cash flow statement, also referred to as the statement of cash flows, is a financial report that summarises how changes in balance sheet accounts and income affect cash and cash equivalents. It essentially provides insights into an organisation's operating activities.
"," 


Does the Cash Flow Statement show how much money an organization has on hand?
", False
185,"Chivalry, or the chivalric code, is an informal, varying code of conduct developed between 1170 and 1220. The code was composed of three main parts: honor (which consisted of faithfulness to one's lord), social class loyalty (particularly to those with whom a vassal shared land under feudal law), and courage in battle. 
"," Is being honorable only fighting for your country?
", False
186,"
Percy Jackson is a twelve-year-old boy who discovers that he is the son of Poseidon, the Greek god of the sea. He attends Camp Half-Blood, where he learns to fight monsters and goes on quests with his friends Annabeth Chase and Grover Underwood.
"," 
Is Percy Jackson a demigod? 
", True
187,"A finance charge is a fee that's charged for the use of credit. It can be expressed as either a percentage of the amount you borrowed (called the annual percentage rate, or APR) or as a flat fee. For example, if you're approved for a $1,000 loan with an 18% APR and you repay it over two years in equal monthly payments, your total finance charges would be $360 ($30 per month).
"," Is finance charge always levied on loans? 
", True
188,"Lethal Weapon is a 1987 American buddy cop action film directed by Richard Donner, produced by Joel Silver, and written by Shane Black. It stars Mel Gibson and Danny Glover alongside Gary Busey, Tom Atkins, Darlene Love, and Traci Wolfe. The film follows two LAPD detectives – Martin Riggs (Gibson), a former Green Beret who has become suicidal following the death of his wife in an accident; and Roger Murtaugh (Glover), a 50-year-old veteran of the force whose daughter's impending marriage causes him to contemplate retirement – as they uncover a drug smuggling operation while working together on what initially appeared to be a routine homicide investigation. 
"," Is lethal weapon based on true story?
", No
189,"La Reina del Sur (English: The Queen of the South) is a Spanish-language telenovela produced by Telemundo based on an original story by Arturo Pérez-Reverte. It premiered on 28 February 2011, and concluded on 26 May 2011. La Reina del Sur tells the story of Teresa Mendoza (Kate Del Castillo), a woman who becomes the most powerful drug trafficker in southern Spain during the late 1990s.[1]
"," 
Is La Reina del Sur a Spanish telenovela? 
", True
190,"One time when Jesus was praying by himself and the disciples were with him on the other side of the lake, he saw that they were struggling to row their boat against a strong wind. He went out to them in a small boat, walking on water. The disciples thought he was a ghost at first! 
"," Did Jesus walk on water? 
", True
191,"Gouda cheese is a yellowish Dutch cheese named after the city of Gouda in the Netherlands. It is one of the most popular cheeses in the world, accounting for 50 to 60 percent of world production of processed cheeses. Gouda has a mild flavor when young, but it gets stronger and more flavorful with age. The taste also depends on what kind of milk was used: whole milk gives a sweeter taste while skimmed milk produces a saltier flavor.
"," 
Is Gouda cheese made from skimmed or whole milk? 
"," 
Whole Milk"
192,"The 2014 FIFA World Cup Brazil video game is an association football simulation video game developed by EA Canada and published by EA Sports. It was released on 17 April 2014 in North America, 19 April in Europe and 3 May in Australia for the PlayStation 3, PlayStation 4, Xbox 360, Xbox One and Microsoft Windows platforms.
"," 
was the 2014 fifa world cup brazil video game released before or after the actual event it is based on?
"," 
After"
193,"Middletown–Town of Wallkill station is a train station in Middletown, New York. It serves Amtrak's Empire Service and Adirondack lines. The station building was built by the Erie Railroad in 1914 and is owned by CSX Transportation, which uses it as a freight office.
"," Is Middletown–Town of Wallkill Station used exclusively for freight? 
", False
194,"Cobra Kai is an American action comedy-drama web television series, created by Jon Hurwitz, Hayden Schlossberg, and Josh Heald. The show is set 34 years after the events of the 1984 All Valley Karate Tournament and revolves around Johnny Lawrence reopening the Cobra Kai dojo.
"," 
Is Cobra Kai a drama or a comedy?
"," 
Drama"
195,"Creatine kinase (CK), also known as ATP:guanidinoacetate N-methyltransferase (AGAT) or gamma-glutamyl transferase 5 (GGT5), is an enzyme expressed by various tissues and cell types. CK catalyses the transfer of phosphate groups from high-energy phosphates, including phosphocreatine (PCr) and adenosine diphosphate (ADP), to other molecules.
"," Does creatine kinase help in the transfer of phosphate groups? 
", True
196,"
Christopher Johnson McCandless (/məˈkændlɪs/; February 12, 1968 – c. August 1992) was an American hiker and itinerant traveler, who also went by the name Alexander Supertramp. After graduating from college in 1990, McCandless traveled across North America and eventually hitchhiked to Alaska in April 1992. There he set out alone into the wilderness north of Mt. McKinley on a journey that would ultimately take him more than four months.[1] He had previously given away all his possessions

"," 

Did Chris McCandless have any possessions when he began his journey? 
", False
197,"A national identity card is an identification card issued by a government to its citizens. The term ""national"" in the phrase ""national identity card"" refers to the fact that each country issues these cards only to its own nationals, and not generally speaking to foreigners who are subject instead to other forms of documentation for purposes of establishing their identities within a given jurisdiction.
"," 
Do all countries issue national identity cards? 
", False
198,"The Monterey Bay Aquarium is a public aquarium in Monterey, California. Known for its regional focus on the marine habitats of Central California, it was founded in 1984 and is accredited by the Association of Zoos and Aquariums (AZA). The adjacent MBARI provides research laboratories facilities for visiting scientists from around the world studying deep sea environments.
"," 
Is the Monterey Bay Aquarium located in central california? 
", True
199,"Herschel Walker (born March 3, 1962) is a former professional American football player, bobsledder, sprinter and mixed martial artist. He played college football for the University of Georgia, where he was recognized as an All-American running back. He also won a Heisman Trophy in 1982. In the National Football League (NFL), he played professionally for the New Jersey Generals, Dallas Cowboys, Minnesota Vikings, Philadelphia Eagles and New York Giants.
"," Was Herschel walker born in 1960? 
", False
200,"Keeping Up with the Kardashians is an American reality television series that airs on the E! network. The show focuses on the personal and professional lives of the Kardashian-Jenner family members. 
"," Does Keeping up with the Kardashians air on ABC?
", False
201,"The Witcher (/ˈwɪtʃər/) is a 2007 action role-playing video game developed by CD Projekt Red and published by Atari, based on the novel series of The Witcher by Polish author Andrzej Sapkowski. 
"," Is The Witcher a book? 
", False
202,"Congo is a 1995 American science fiction action adventure film directed by Frank Marshall and based on Michael Crichton's novel of the same name. It stars Dylan Walsh, Laura Linney, Tim Curry, Ernie Hudson, Grant Heslov and Joe Don Baker. The story concerns an expedition searching for diamonds in the jungle of Congo that goes awry when they are attacked by killer gorillas who have been genetically enhanced with a virus similar to Ebola.
"," Is Congo based on a book? 
", True
203,"In baseball, batting is the act of facing the opposing pitcher and trying to produce offense for one's team. A batter or hitter is a person whose turn it is to bat during their team's inning. The three main goals of batters are to become a baserunner, drive runners home or advance them around the bases,[1] or to simply make an out. Depending on the type and location of pitch thrown by the pitcher, hitters can attempt different types of swings.[2]
"," 
Is batting considered as an act of trying to produce offense for one's team? 
", True
204,"
A virtual image is an image formed by light rays that do not actually pass through the lens or mirror producing the image. It appears to be coming from behind the reflecting surface. A plane mirror will produce a virtual image positioned laterally (left or right), vertically (up and down), inverted, and magnified with respect to the actual object in front of it 
"," Will a concave mirror always form a virtual images? 
", True
205,"A deed of trust, also known as a trust deed or inter vivos trust, is an instrument used to provide legal title in real property to a trustee on behalf of the beneficiaries who hold equitable title to the property. The beneficiary has no interest in thetrustee's performance and no say over how the Trustee manages or disposes of the property. 
"," Is a deed of trust legally binding? 
", True
206,"A random glucose test is a blood test that measures the level of sugar (glucose) in your blood. It can be done at any time, regardless of when you last ate. 
"," does the test measure insulin levels? 
", False
207,"Oscar the Grouch is a character on the children's television show Sesame Street. He is a green Muppet who lives in a trash can and loves to be dirty. 
"," Does Oscar like being clean? 
", False
208,"Australia–United Kingdom relations, also referred to as Anglo-Australian relations, are the bilateral ties between Australia and the United Kingdom. Formal relations began in 1831 with Captain Richard Spencer's formal claim of Western Australia for Britain; however, informal links had already existed since 1788 due to commonalities such as language and culture.
"," Do Australian citizens need a visa to travel to the UK? 
", False
209,"Lab Rats: Elite Force is an American television series created by Chris Peterson and Bryan Moore that aired on Disney XD from March 2 to October 16, 2016. The series is a sequel/spin-off of both Lab Rats and Mighty Med.
"," Is Lab Rats: Elite Force a spin-off of another show?
"," 
True"
210,"Jack Reacher: Never Go Back is a 2016 American action thriller film directed by Edward Zwick and written by Richard Wenk, based on the 2005 novel One Shot (and its 2012 sequel Worth Dying For) by Lee Child. The film stars Tom Cruise as Jack Reacher, with Cobie Smulders, Aldis Hodge, Danika Yarosh and Patrick Heusinger in supporting roles.
"," 
Is Jack Reacher: Never Go Back a book?
"," 
False"
211,"
Running is a type of gait characterized by an aerial phase in which all feet are above the ground (though there may be exceptions). This is in contrast to walking, where one foot must always remain on the ground at all times. The term running can refer to any of a variety of speeds ranging from jogging to sprinting. 
"," Is it possible for someone to run and have both feet off the ground at the same time? 
", True
212,"Scorpions are arachnids of the order Scorpiones. They have eight legs and are easily recognized by their pair of long pedipalps and narrow, segmented tail, often carried in a characteristic forward curve over their back, ending with a venomous stinger. Scorpions range in size from 9 mm / 0.3 inches (Typhlochactas mitchelli) to 23 cm / 9 inches (Hadrurus sp.).
"," 
Are scorpions insects? 
", False
