word	sentence1	sentence2
clean	 The rock star cleaned his mansion with a toothbrush.	 She's a whiz at outdoor cooking and kitchen clean-up.
orbit	 The moon orbits the earth.	 We orbit the sun.
provide	 They provide that you have reached a certain date of life to make a withdrawal from your 401k.	 He provided homeschooling for his son.
slit	 Emily slit her wrists with a razor blade.	 Edward would daydream of slitting his wrists out in the open sea.
smell	 I don't try to push though.	 This place smells terrible!
treat	 Honey paid for the dog to be treated.	 They treated their daughter with respect.
underestimate	 I think he overestimated how much work he could handle.	 It would be very easy to underestimate the beauty of such a large scene such as this.
erase	 I try to erase the feelings of regret.	 I will erase this letter also.
lob	 They lobbed the ball across the field.	 She lobbed the question back at him.
cut	 She cut her long hair down to her chin.	 He cut the rope.
tell	 I told the man the time.	 He told me a sad story.
crystallize	 I was able to crystallize my thoughts for this meeting.	 She crystallized her faith in chess.
flip	 Flipping channels, it struck me how horrible reality TV is.	 Falling just shy of the mailbox, he flipped the ball into the neighbor's yard.
volunteer	 I volunteered to go.	 She volunteered to enter the beauty competition.
spend	 The spend the day being as happy as can be.	They spent a whole night out.
add	 Glue some pieces of tissue paper on top of the clay so as not to add more clay on top.	 I added milk and sugar to my coffee.
drill	 I drill the metal.	 She drilled her nail into his hand.
press	 The garb harvester presses the clothes in the field.	 We can't press clothes in the field.Many clothes in the field.
crack	 I can hear someone cracking their knuckles outside.	 I crack the eggs to scramble them.
mount	 He mounted his horse confidently.	 We mounted the horse.
waste	 Waste not, want not.	 I don't want to waste a trip to the library.
winnow	 With Brad's help, they winnowed out what they needed.	 Put away all the good pieces.
cuddle	 He cuddled the cat to his chest.	 They cuddled under the covers.
approach	 They approached the corpse.	 I easily approached the words on the page.
patch	 Thank goodness she patched a hole in her jeans.	 They patched the saddle blanket in a pocket also in contemplation of a future singletrack ride.
keep	 I keep this piece of paper in my pocket.	 I use this coin in water.
continue	 I will always continue to support you.	 Always continue to learn as much as you can.
assemble	 I will not assemble the chairs.	 Assemble your words better.
blaze	 They will blaze a trail.	 They blazed away the weeds.
catch	 You'll catch your death of cold dressed like that.	She subconsciously began looking for her dad and caught her brother kissing one of their female classmates.
normalize	 He tried to normalize his demeanor.	 These people desire to normalize the truth of something.
guard	 I guard my rice fields all night.	 Herb guards the produce.
shoot	 The shooting paralyzed him with fear.	 I missed my shot.
visit	 We try to visit my parents on Sundays.	 I visited him on Monday.
field	 Lisa head out to the field to work.	 But when she got to the field she discovered it was mud.
tolerate	 I try to tolerate spicy foods.	 He can't tolerate his father's harangues about politics.
prove	 The time has come to prove your love.	 It proved to be many months since I left.
wharf	 She took her boat out of the wharf.	 He came wharf pounding again.
tame	 Animals use to be savage and we left them to their business, and they would tame and keep the number of natural predators in an area down.	 Humans were never like this and we found ways to tame the world around us.
strangle	 Dorothy had him in the ropes.	 She strangled him with her hands.
strengthen	 Pat strengthened the pot with spoonfuls of sugar, flour, and butter.	 The winds strengthened.
render	 They rendered it clean.	 He rendered her unconscious.
bring	 It doesn't bring joy.	 We brought it back to life again.
regret	 I regret booking this show.	 I regret laughing.
rotate	 I rotate my camera as it moves across the ground.	 Corporate flights were scheduled to rotate back and forth monthly.
freshen	 She uses her scarf to freshen up her outfit.	 It was no use trying to freshen up the dirt-covered lamb.Another set of sentences with one common verb in each sentence can be given with another common verb below.Verb
levy	 The council levied an import tax on the cigarettes.	 I am levying a charge on customers of five dollars.
retrograde	 She tried to keep her thoughts away from the darkness baring down.	 The eclipse began to rearrange the stars again.
fiddle	 I fiddled with the key.	 He fiddled with the lock for a couple of minutes before it clicked.
produce	 Unique designs are born of this screen.	 She produced some delicious sandwiches.
screen	 Screen coverage is important for horse racing.	 He screened his eyes and watched her.
blow	 I never blow my money.	 It blows my mind.
arouse	 His presence aroused her.	 She arroused his suspicions.
behave	 You must behave.	 A cat behaves by looking for food.
ensure	 We ensured the car was in top condition.	 I’ll be ensuring people follow the rules.
sanitize	 Sanitize the children before you bring them into the area.	 I hope you sanitized your plate.
wear	 I can't stand to see you wearing such a clowny top!	 I often wear too-tight shoes.
construct	 Peruvian construct their homes of adobe brick.	 Leonidas constructed his home of timber.
ditch	 They ditched their teacher and went off on their own.	 I managed to ditch my obligations and leave.
translate	 Translate from one language to another.	 She translated from one letter to the next.
return	 I return his embrace.	 I'll return the coat.
camp	 Foraging is popular with campers.	 He camped out on the couch.
pound	 Pound the dough!.	 Pound on the door!
see	 I saw the crook in the corner.	 He saw the girl sitting at the bar.
ply	 He plied his trade on outside tables.	 Mark tried to ply me for information.
bestow	 His mother bestowed (present tense) him the car.	 Spat crammed the microphone and bestowed (past tense) her prayer.
offset	 My review of your recent purchase was offset by your terrible customer service.	 His often-seen nepotism offsets whatever good advice he's given.A way to offset their terrible customer service is to have excellent customer support.For English, using
loosen	 I will loosen your grasp.	 I loosened my grip on the handlebars.
drag	 I was dragged to the party unwillingly.	 I was dragged to the party unwillingly.
step	 I stepped on a worm.	 She stepped gingerly downstairs.
suffer	 He suffered from systemic curse.	 I suffered from heartbreak.
fly	 The bird flew over the moon.	 The bomb flew into the television.
extend	 I extend this feeling of intrigueSentence 2	 growSentence 1
permit	 I will not permit the children to go out on a school night.	 She did not permit her voice to rise to a scream.
melt	 The butter and chocolate chips felt as if they were about to melt and mix together.	 The snow was melting as we walked outside.
dissent	 He was elected because he abstained from the vote.	 I dissent because plea deals are often fake.
water	 The idea was watered down.	 He watered the ground to kill the weeds.
kill	 They agreed to kill the horse.	 The horse killed the man.
